,NR,WOJEWÓDZTWO,KOD STARY,KOD NOWY,NAZWA STACJI,MIEJSCOWOSC,ADRES,lats,lngs
215,216,ŚLĄSKIE,SlKnuroKnu1_gliwi,SlKnurJedNar,Knurów _jedności narod. - WIOŚ,Knurów,ul. Jedności Narodowej 5,50.2330663,18.6567292
216,217,ŚLĄSKIE,SlLubliLubl_piask,SlLublPiasko,Lubliniec_piaskowa,Lubliniec,ul. Piaskowa 56,50.6578394,18.6963936
217,218,ŚLĄSKIE,SlMyszkMysz_myszk,SlMyszMiedzi,Myszków_miedziana,Myszków,ul. Miedziana 3,50.5796956,19.3273438
218,219,ŚLĄSKIE,SlPszczPszc_boged,SlPszczBoged,Pszczyna_bogedaina- WIOŚ,Pszczyna,ul. Bogedaina,49.9729301,18.947541
219,220,ŚLĄSKIE,SlRybniRybn_borki,SlRybniBorki,Rybnik_borki-WIOŚ,Rybnik,ul. Borki 37 d,50.110822,18.5162379
220,221,ŚLĄSKIE,SlSosnoSosn_lubel,SlSosnoLubel,Sosnowiec_lubelska -WIOŚ,Sosnowiec,ul. Lubelska 51,50.286671,19.1848019
221,222,ŚLĄSKIE,SlTarnoTarn_litew,SlTarnoLitew,Tarnowskie Góry_litewska-WIOŚ,Tarnowskie Góry,ul. Litewska,50.4467029,18.8273944
222,223,ŚLĄSKIE,SlTychyTych_tolst,SlTychyTolst,Tychy_tołstoja-WIOŚ,Tychy,ul. Tołstoja 1,50.1006335,18.9915432
223,224,ŚLĄSKIE,SlUstroCies_sana7,SlUstronSana,Ustroń_sanatoryjna 7,Ustroń,ul. Sanatoryjna 7,49.7212767,18.8249537
224,225,ŚLĄSKIE,SlWodziWodz_galcz,SlWodzGalczy,Wodzisław_Gałczyńskiego-WIOŚ,Wodzisław Śląski,ul. Gałczyńskiego 1,50.007486,18.456487
225,226,ŚLĄSKIE,SlZabrzZabr_sklod,SlZabSkloCur,Zabrze_skłod-WIOŚ,Zabrze,ul. M. Skłodowskiej-Curie 34,50.3134312,18.78175
226,227,ŚLĄSKIE,SlZawieZawi_zawie,SlZawSkloCur,Zawiercie_skłod-curie- WIOŚ,Zawiercie,ul. Skłodowskiej-Curie 16,50.4796025,19.4346214
227,228,ŚLĄSKIE,SlZlotyJano_lesni,SlZlotPotLes,Złoty Potok gm. Janów (automat),Złoty Potok,ul. Leśniczówka Kamienna Góra,50.711861,19.4585094
228,229,ŚLĄSKIE,SlZoryzZory_sikor,SlZorySikors,Żory_os.Sikorskiego-WIOŚ,Żory,ul. Sikorskiego 52,50.02897859999999,18.6907804
229,230,ŚLĄSKIE,SlZywieZywi_koper,SlZywieKoper,Żywiec_kopernika-WIOŚ,Żywiec,ul. Kopernika 84,49.67049009999999,19.2384583
230,231,ŚLĄSKIE,SlZywieZywi_slowa,SlZywieSlowa,Żywiec-słowackiego-WIOŚ,Żywiec,ul. Słowackiego 2,49.6883444,19.2052701
231,232,WARMIŃSKO-MAZURSKIE,WmElblagWIOS_Bazynsk,WmElbBazynsk,WIOŚ Elbląg ul. Bażyńskiego,Elbląg,ul. Bażyńskiego 6,54.16812179999999,19.4106429
232,233,WARMIŃSKO-MAZURSKIE,WmGoldapWIOS_Jacwies,WmGoldJacwie,WIOŚ Gołdap ul. Jaćwieska,Gołdap,ul. Jaćwieska 15,54.3057287,22.3064343
233,234,WARMIŃSKO-MAZURSKIE,WmIlawaAnd,WmIlawAnders,WIOŚ Iława ul.Andersa,Iława,Andersa 8a,53.588294,19.5645311
234,235,WARMIŃSKO-MAZURSKIE,WmMragowWIOS_Parkowa,WmMragParkow,WIOŚ Mrągowo ul. Parkowa,Mrągowo,ul. Parkowa,53.86603419999999,21.2939302
235,236,WARMIŃSKO-MAZURSKIE,WmNidzicaWIOS_Traugut,WmNiTraugutt,WIOŚ Nidzica ul.Traugutta,Nidzica,ul. Traugutta,53.36168,20.42009
236,237,WARMIŃSKO-MAZURSKIE,WmOlsztyWIOS_Puszkin,WmOlsPuszkin,WIOŚ Olsztyn ul. Puszkina,Olsztyn,ul. Puszkina 16,53.7894476,20.4857533
237,238,WARMIŃSKO-MAZURSKIE,WmOstrodWIOS_Chrobre,WmOstrChrobr,WIOŚ Ostróda ul. Chrobrego,Ostróda,ul. Chrobrego 3,53.69268,19.969364
238,239,WARMIŃSKO-MAZURSKIE,WmPuszcz_IOS_Borecka,WmPuszczaBor,KMŚ Puszcza Borecka,,Diabla Góra,54.1236641,22.0387785
239,240,WIELKOPOLSKIE,WpWKP011/10,WpBoroDrapal,WKPBorowiec,Borówiec,ul. Drapałka 4,52.27689609999999,17.0732431
240,241,WIELKOPOLSKIE,WpGnieznoPM10/11,WpGniePaczko,"Gniezno, ul. Paczkowskiego",Gniezno,ul. Paczkowskiego,52.5398136,17.6116448
241,242,WIELKOPOLSKIE,WpWKPKalisz007/10,WpKaliSawick,WKPKalisz,Kalisz,ul. Hanki Sawickiej,51.76727990000001,18.0853462
242,243,WIELKOPOLSKIE,WpKonin311009D009102,WpKoniWyszyn,"Konin, ul. Wyszyńskiego 3a",Konin,ul. Wyszyńskiego 3,52.2266117,18.2654507
243,244,WIELKOPOLSKIE,WpLesznoPM10/11,WpLeszKiepur,WpLesznoPM10/11,Leszno,ul. Kiepury,51.8370785,16.6027477
244,245,WIELKOPOLSKIE,WpNowyTomyslPM10/11,WpNoTomSzpit,WpNowyTomyslPM10/11,Nowy Tomyśl,ul. Szpitalna,52.3168362,16.1425649
