,Wojewodztwo,ICD10,Rok,Liczba
685,2,C47,2008,36
686,2,C47,2009,18
687,2,C47,2010,36
688,2,C47,2011,36
689,2,C47,2012,36
690,2,C47,2013,1
691,2,C47,2014,36
692,2,C47,2015,36
693,2,C48,1999,36
694,2,C48,2000,36
695,2,C48,2001,36
696,2,C48,2002,36
697,2,C48,2003,36
698,2,C48,2004,36
699,2,C48,2005,36
700,2,C48,2006,36
701,2,C48,2007,36
702,2,C48,2008,36
703,2,C48,2009,36
704,2,C48,2010,36
705,2,C48,2011,36
706,2,C48,2012,36
707,2,C48,2013,8
708,2,C48,2014,36
709,2,C48,2015,36
710,2,C49,1999,36
711,2,C49,2000,36
712,2,C49,2001,36
713,2,C49,2002,36
714,2,C49,2003,36
715,2,C49,2004,36
716,2,C49,2005,36
717,2,C49,2006,36
718,2,C49,2007,36
719,2,C49,2008,36
720,2,C49,2009,36
721,2,C49,2010,36
722,2,C49,2011,36
723,2,C49,2012,36
724,2,C49,2013,22
725,2,C49,2014,36
726,2,C49,2015,36
727,2,C50,1999,36
728,2,C50,2000,36
729,2,C50,2001,36
730,2,C50,2002,36
731,2,C50,2003,36
732,2,C50,2004,36
733,2,C50,2005,36
734,2,C50,2006,36
735,2,C50,2007,36
736,2,C50,2008,36
737,2,C50,2009,36
738,2,C50,2010,36
739,2,C50,2011,36
740,2,C50,2012,36
741,2,C50,2013,20
742,2,C50,2014,36
743,2,C50,2015,36
744,2,C51,1999,18
745,2,C51,2000,18
746,2,C51,2001,18
747,2,C51,2002,18
748,2,C51,2003,18
749,2,C51,2004,18
750,2,C51,2005,18
751,2,C51,2006,18
752,2,C51,2007,18
753,2,C51,2008,18
754,2,C51,2009,18
755,2,C51,2010,18
756,2,C51,2011,18
757,2,C51,2012,19
758,2,C51,2013,9
759,2,C51,2014,18
760,2,C51,2015,36
761,2,C52,1999,18
762,2,C52,2000,18
763,2,C52,2001,18
764,2,C52,2002,18
765,2,C52,2003,18
766,2,C52,2004,18
767,2,C52,2005,18
768,2,C52,2006,18
769,2,C52,2007,18
770,2,C52,2008,18
771,2,C52,2009,18
772,2,C52,2010,18
773,2,C52,2011,18
774,2,C52,2012,18
775,2,C52,2013,10
776,2,C52,2014,18
777,2,C52,2015,36
778,2,C53,1999,18
779,2,C53,2000,18
780,2,C53,2001,18
781,2,C53,2002,18
782,2,C53,2003,18
783,2,C53,2004,18
784,2,C53,2005,18
785,2,C53,2006,18
786,2,C53,2007,18
787,2,C53,2008,18
788,2,C53,2009,18
789,2,C53,2010,18
790,2,C53,2011,18
791,2,C53,2012,18
792,2,C53,2013,13
793,2,C53,2014,18
794,2,C53,2015,36
795,2,C54,1999,18
796,2,C54,2000,18
797,2,C54,2001,18
798,2,C54,2002,18
799,2,C54,2003,18
800,2,C54,2004,18
801,2,C54,2005,18
802,2,C54,2006,18
803,2,C54,2007,18
804,2,C54,2008,18
805,2,C54,2009,18
806,2,C54,2010,18
807,2,C54,2011,18
808,2,C54,2012,18
809,2,C54,2013,12
810,2,C54,2014,18
811,2,C54,2015,36
812,2,C55,1999,18
813,2,C55,2000,18
814,2,C55,2001,18
815,2,C55,2002,18
816,2,C55,2003,18
817,2,C55,2004,18
818,2,C55,2005,18
819,2,C55,2006,18
820,2,C55,2007,18
821,2,C55,2008,18
822,2,C55,2009,18
823,2,C55,2010,18
824,2,C55,2011,18
825,2,C55,2012,18
826,2,C55,2013,7
827,2,C55,2014,18
828,2,C55,2015,36
829,2,C56,1999,18
830,2,C56,2000,18
831,2,C56,2001,18
832,2,C56,2002,18
833,2,C56,2003,18
834,2,C56,2004,18
835,2,C56,2005,18
836,2,C56,2006,18
837,2,C56,2007,18
838,2,C56,2008,18
839,2,C56,2009,18
840,2,C56,2010,18
841,2,C56,2011,18
842,2,C56,2012,18
843,2,C56,2013,15
844,2,C56,2014,18
845,2,C56,2015,36
846,2,C57,1999,18
847,2,C57,2000,18
848,2,C57,2001,18
849,2,C57,2002,18
850,2,C57,2003,18
851,2,C57,2004,18
852,2,C57,2005,18
853,2,C57,2006,18
854,2,C57,2007,18
855,2,C57,2008,18
856,2,C57,2009,18
857,2,C57,2010,18
858,2,C57,2011,18
859,2,C57,2012,18
860,2,C57,2013,8
861,2,C57,2014,18
862,2,C57,2015,36
863,2,C58,2001,18
864,2,C58,2004,18
865,2,C58,2007,18
866,2,C58,2008,18
867,2,C58,2012,18
868,2,C58,2013,1
869,2,C58,2015,36
870,2,C60,1999,18
871,2,C60,2000,18
872,2,C60,2001,18
873,2,C60,2002,18
874,2,C60,2003,18
875,2,C60,2004,18
876,2,C60,2005,18
877,2,C60,2006,18
878,2,C60,2007,18
879,2,C60,2008,18
880,2,C60,2009,18
881,2,C60,2010,18
882,2,C60,2011,18
883,2,C60,2012,18
884,2,C60,2013,8
885,2,C60,2014,18
886,2,C60,2015,36
887,2,C61,1999,18
888,2,C61,2000,18
889,2,C61,2001,18
